Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.2188,0.0510,0.2507,-0.0091,0.2188,0.7812,-0.5624,0.2333,0.1351,0.8546,0.1506,203.1343,0.0145,0.0015,0.0697
2,0.2188,0.0445,0.2507,-0.0065,0.2090,0.7910,-0.5820,0.2359,0.1363,0.8778,0.1334,205.2337,0.0145,0.0015,0.0722
3,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0744
4,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0709
5,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0711
6,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0709
7,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0701
8,0.2159,0.0490,0.2478,-0.0102,0.2218,0.7782,-0.5563,0.2323,0.1346,0.8463,0.1567,202.4363,0.0145,0.0016,0.0610
9,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0761
10,0.2159,0.0423,0.2435,-0.0117,0.2049,0.7951,-0.5903,0.2319,0.1339,0.8629,0.1334,205.2337,0.0145,0.0015,0.0708
,,,,,,,,,,,,,,,
Mean,0.2165,0.0468,0.2480,-0.0094,0.2166,0.7834,-0.5668,0.2332,0.1350,0.8564,0.1480,203.4857,0.0145,0.0015,0.0707
Std,0.0012,0.0023,0.0020,0.0013,0.0053,0.0053,0.0106,0.0010,0.0006,0.0085,0.0079,0.9468,0.0000,0.0000,0.0040
Str,21.65±0.12,4.68±0.23,24.80±0.20,-0.94±0.13,21.66±0.53,78.34±0.53,-56.68±1.06,23.32±0.10,13.50±0.06,85.64±0.85,14.80±0.79,20348.57±94.68,1.45±0.00,0.15±0.00,0.07±0.00
