Dataset,Exp_id,Status,Total_Time,theta,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_001_LWEA,SUCCESS,7.4757,1,0.5608756731444627,0.4838311635698001,0.6288222898618592,0.3962619194236918,0.8193878107184392,0.1806121892815607,0.6387756214368785,0.5060682960492595,0.4813882098328858,0.5369409402578823,0.859305019904866,417.2449904428963,0.1410442519316319,0.06520502233116682,0.6502396106719971
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_002_LWEA,SUCCESS,7.4124,5,0.5342308592835402,0.4327106789809017,0.5899321002107235,0.3320077363540877,0.803124936599264,0.19687506340073596,0.606249873198528,0.45156054545729596,0.4348708715163525,0.4716381582452037,0.8629490424483327,399.1800581966871,0.11463357527511123,0.05658531010087185,0.6374312162399292
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_003_LWEA,SUCCESS,7.2766,10,0.5309997658627956,0.4358996429248404,0.5914305783188949,0.3384584668291895,0.801045655658197,0.19895434434180304,0.6020913113163939,0.45940753844062937,0.435689748736846,0.48936711558023493,0.8501476182604202,422.66871425535265,0.10302036993678296,0.05017016949482964,0.6290490388870239
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_004_LWEA,SUCCESS,7.5077,20,0.533692343713416,0.4377846545192928,0.5898618590494029,0.3387861711138509,0.8033810070312445,0.19661899296875557,0.6067620140624889,0.4581351999481945,0.43878340514455666,0.48288600521040764,0.8556660514001584,407.96494638163705,0.10339498946382582,0.05298602297286492,0.6522075414657593
isolet_1560n_617d_2c_CDKM200,Exp_001_LWEA,SUCCESS,1.9438,1,0.5848076923076924,0.027400592930409896,0.5848076923076924,0.03509463899238567,0.5175178862189767,0.48248211378102335,0.03503577243795332,0.5367167434842288,0.5167455570776519,0.5640118824265166,0.9265456824726044,260.92240225783604,0.7634615384615385,0.64951627548431,0.14850318431854248
isolet_1560n_617d_2c_CDKM200,Exp_002_LWEA,SUCCESS,1.8874,5,0.581025641025641,0.0256854564854313,0.581025641025641,0.032811844765111044,0.5163768688014999,0.48362313119850003,0.032753737602999954,0.5352687552695226,0.5156514301949809,0.5622309996379314,0.9274293083810162,256.25549750200486,0.7676923076923077,0.6558064150133606,0.14252879619598388
isolet_1560n_617d_2c_CDKM200,Exp_003_LWEA,SUCCESS,1.8589,10,0.5812179487179487,0.02577651670786905,0.5812179487179487,0.03293564945048234,0.5164387921251296,0.48356120787487045,0.03287758425025904,0.5353150774867483,0.5157127318060284,0.5622607879924952,0.9274764470924097,256.1140761457675,0.7678205128205129,0.6559681677926921,0.1395939588546753
isolet_1560n_617d_2c_CDKM200,Exp_004_LWEA,SUCCESS,2.0001,20,0.5809615384615385,0.02569620195954563,0.5809615384615385,0.03282616224771168,0.5163840232890906,0.4836159767109093,0.032768046578181276,0.535279557759168,0.51565867354676,0.5622446594911292,0.927420298613997,256.3969188582422,0.7675641025641026,0.6555809030713624,0.1498039722442627
tr45_690n_8261d_10c_CDKM200,Exp_001_LWEA,SUCCESS,1.0641,1,0.21681159420289858,0.04696531161552509,0.24869565217391307,-0.008838318005789523,0.21699753896636587,0.7830024610336341,-0.5660049220672682,0.23359587149771746,0.1352055231570009,0.8579378761757855,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.0729062557220459
tr45_690n_8261d_10c_CDKM200,Exp_002_LWEA,SUCCESS,1.0878,5,0.21652173913043476,0.04675308953227044,0.24797101449275366,-0.009365049491442212,0.2165835804884205,0.7834164195115795,-0.566832839023159,0.23319598041114348,0.13497454157919014,0.856449807942413,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.0760073184967041
tr45_690n_8261d_10c_CDKM200,Exp_003_LWEA,SUCCESS,1.0948,10,0.21652173913043476,0.04675308953227044,0.24797101449275366,-0.009365049491442212,0.2165835804884205,0.7834164195115795,-0.566832839023159,0.23319598041114348,0.13497454157919014,0.856449807942413,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.07679934501647949
tr45_690n_8261d_10c_CDKM200,Exp_004_LWEA,SUCCESS,1.1572,20,0.21652173913043476,0.04675308953227044,0.24797101449275366,-0.009365049491442212,0.2165835804884205,0.7834164195115795,-0.566832839023159,0.23319598041114348,0.13497454157919014,0.856449807942413,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.07346723079681397
